City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2020-05-07 15:44:30,22.08,-159.32,71.6,83,90,19.46
1,Port Alfred,ZA,2020-05-07 15:44:31,-33.59,26.89,66.99,89,100,1.01
2,Ushuaia,AR,2020-05-07 15:40:06,-54.8,-68.3,42.8,75,100,5.82
3,Bethanien,NA,2020-05-07 15:44:31,-26.5,17.16,79.92,16,0,4.07
4,Tuktoyaktuk,CA,2020-05-07 15:44:31,69.45,-133.04,14.0,92,75,10.29
5,Tasiilaq,GL,2020-05-07 15:44:31,65.61,-37.64,44.6,39,40,1.12
6,Pascagoula,US,2020-05-07 15:44:31,30.37,-88.56,66.2,39,1,4.7
7,Ustikolina,BA,2020-05-07 15:44:31,43.58,18.79,60.8,38,40,12.75
8,Hermanus,ZA,2020-05-07 15:40:01,-34.42,19.23,66.99,81,100,6.6
9,Torbay,CA,2020-05-07 15:43:08,47.67,-52.73,48.99,74,20,21.92
10,Avarua,CK,2020-05-07 15:43:08,-21.21,-159.78,71.6,100,49,2.24
11,Carnarvon,AU,2020-05-07 15:44:32,-24.87,113.63,66.78,62,0,22.7
12,San Jose,US,2020-05-07 15:40:33,37.34,-121.89,68.0,49,37,3.62
13,Punta Arenas,CL,2020-05-07 15:44:32,-53.15,-70.92,44.6,87,75,6.93
14,Alexandria,EG,2020-05-07 15:43:35,31.22,29.96,80.6,19,0,4.7
15,Dikson,RU,2020-05-07 15:44:32,73.51,80.55,8.82,93,100,6.89
16,Nikolskoye,RU,2020-05-07 15:44:32,59.7,30.79,51.8,37,96,22.37
17,Luba,GQ,2020-05-07 15:44:32,3.46,8.55,87.8,74,40,5.82
18,Leh,IN,2020-05-07 15:44:32,34.17,77.58,38.97,59,26,5.46
19,Tiksi,RU,2020-05-07 15:44:32,71.69,128.87,12.33,96,100,10.42
20,Port Elizabeth,ZA,2020-05-07 15:44:33,-33.92,25.57,66.2,88,100,12.75
21,Flinders,AU,2020-05-07 15:44:33,-34.58,150.86,66.0,82,50,1.01
22,Los Llanos De Aridane,ES,2020-05-07 15:44:33,28.66,-17.92,69.8,68,75,11.41
23,Rikitea,PF,2020-05-07 15:44:33,-23.12,-134.97,74.75,76,49,15.3
24,Banepa,NP,2020-05-07 15:44:33,27.63,85.52,57.2,82,20,4.7
25,Mataura,NZ,2020-05-07 15:44:33,-46.19,168.86,50.07,86,100,7.11
26,Lavrentiya,RU,2020-05-07 15:44:33,65.58,-171.0,21.15,95,84,2.62
27,Hobart,AU,2020-05-07 15:44:33,-42.88,147.33,55.99,82,75,9.17
28,Iqaluit,CA,2020-05-07 15:44:33,63.75,-68.51,26.6,58,75,11.41
29,Partyzany,UA,2020-05-07 15:44:33,46.33,34.75,56.77,57,42,10.51
30,Tokmak,UA,2020-05-07 15:44:33,47.25,35.71,56.28,62,68,12.15
31,Upernavik,GL,2020-05-07 15:44:34,72.79,-56.15,19.22,91,98,6.17
32,Asau,RO,2020-05-07 15:44:34,46.43,26.4,53.01,61,97,3.69
33,Mar Del Plata,AR,2020-05-07 15:44:34,-38.0,-57.56,61.0,62,0,11.41
34,Umm Lajj,SA,2020-05-07 15:44:34,25.02,37.27,77.56,61,0,7.23
35,Leningradskiy,RU,2020-05-07 15:44:34,69.38,178.42,20.12,84,13,1.68
36,Saint Anthony,US,2020-05-07 15:44:34,45.02,-93.22,53.01,34,1,8.05
37,Novotitarovskaya,RU,2020-05-07 15:44:34,45.24,38.98,62.01,67,20,6.71
38,Usakos,NA,2020-05-07 15:44:34,-22.0,15.6,84.31,14,0,6.08
39,Provideniya,RU,2020-05-07 15:44:34,64.38,-173.3,29.37,91,88,8.34
40,Albany,US,2020-05-07 15:40:06,42.6,-73.97,60.01,15,2,1.01
41,Longyearbyen,SJ,2020-05-07 15:44:35,78.22,15.64,33.8,64,20,5.82
42,Busselton,AU,2020-05-07 15:43:51,-33.65,115.33,57.0,98,48,12.33
43,Baker City,US,2020-05-07 15:44:35,44.77,-117.83,39.2,69,1,1.5
44,Qaanaaq,GL,2020-05-07 15:44:35,77.48,-69.36,15.24,89,100,5.3
45,Cayenne,GF,2020-05-07 15:44:35,4.93,-52.33,84.2,74,82,6.93
