City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Havelock,US,2020-05-09 23:55:20,34.88,-76.9,61.0,41,0,1.01,clear sky,0,0
1,Saskylakh,RU,2020-05-09 23:55:20,71.92,114.08,23.27,97,100,9.4,light snow,0,0
2,Atuona,PF,2020-05-09 23:55:21,-9.8,-139.03,80.78,78,51,18.97,light rain,0,0
3,Grindavik,IS,2020-05-09 23:55:21,63.84,-22.43,37.4,55,0,4.7,clear sky,0,0
4,Sydney,AU,2020-05-09 23:52:01,-33.87,151.21,60.01,41,20,21.92,few clouds,0,0
5,Yumen,CN,2020-05-09 23:55:21,40.28,97.2,45.27,50,88,22.26,overcast clouds,0,0
6,Hilo,US,2020-05-09 23:55:21,19.73,-155.09,80.6,61,90,5.82,overcast clouds,0,0
7,Tay Ninh,VN,2020-05-09 23:51:38,11.3,106.1,84.27,70,88,8.08,overcast clouds,0,0
8,Yellowknife,CA,2020-05-09 23:55:21,62.46,-114.35,37.4,44,20,9.17,few clouds,0,0
9,Hermanus,ZA,2020-05-09 23:55:21,-34.42,19.23,60.01,73,0,5.73,clear sky,0,0
10,Fortuna,US,2020-05-09 23:55:21,40.6,-124.16,63.0,82,1,12.75,clear sky,0,0
11,Banda Aceh,ID,2020-05-09 23:55:22,5.56,95.32,78.37,88,100,4.14,overcast clouds,0,0
12,Jalu,LY,2020-05-09 23:55:22,29.03,21.55,67.42,24,26,7.14,scattered clouds,0,0
13,Houma,US,2020-05-09 23:55:22,29.6,-90.72,64.4,59,90,9.17,overcast clouds,0,0
14,Farsund,NO,2020-05-09 23:55:22,58.09,6.8,48.99,87,86,12.93,light rain,0,0
15,Agirish,RU,2020-05-09 23:55:22,61.92,63.02,55.44,64,0,5.37,clear sky,0,0
16,Lebu,CL,2020-05-09 23:55:22,-37.62,-73.65,57.38,87,99,19.19,light rain,0,0
17,Pitimbu,BR,2020-05-09 23:55:22,-7.47,-34.81,75.2,88,20,3.36,few clouds,0,0
18,Bredasdorp,ZA,2020-05-09 23:55:22,-34.53,20.04,59.0,93,0,1.12,clear sky,0,0
19,Vardo,NO,2020-05-09 23:55:22,70.37,31.11,34.2,85,87,0.72,overcast clouds,0,0
20,Butaritari,KI,2020-05-09 23:55:22,3.07,172.79,83.5,80,5,9.42,clear sky,0,0
21,Punta Arenas,CL,2020-05-09 23:52:03,-53.15,-70.92,42.8,93,90,4.7,overcast clouds,0,0
22,Cam Ranh,VN,2020-05-09 23:55:22,11.92,109.16,86.0,84,20,3.56,few clouds,0,0
23,Uyskoye,RU,2020-05-09 23:55:23,54.38,60.0,57.29,67,100,1.68,overcast clouds,0,0
24,Mecca,SA,2020-05-09 23:55:23,21.43,39.83,83.1,60,90,4.14,overcast clouds,0,0
25,Cockburn Town,TC,2020-05-09 23:55:23,21.46,-71.14,80.98,86,30,12.03,scattered clouds,0,0
26,Yima,CN,2020-05-09 23:55:23,34.74,111.88,60.93,57,17,8.9,few clouds,0,0
27,Amapa,BR,2020-05-09 23:55:23,1.0,-52.0,74.08,97,84,2.53,light rain,0,0
28,Bethel,US,2020-05-09 23:55:23,41.37,-73.41,37.0,69,75,17.22,light snow,0,0
29,Rikitea,PF,2020-05-09 23:55:23,-23.12,-134.97,75.85,69,65,4.03,broken clouds,0,0
30,Narsaq,GL,2020-05-09 23:55:23,60.92,-46.05,50.0,21,30,21.92,scattered clouds,0,0
31,Cape Town,ZA,2020-05-09 23:55:23,-33.93,18.42,59.0,93,75,2.24,fog,0,0
32,Terra Santa,BR,2020-05-09 23:55:23,-2.1,-56.49,77.68,85,67,1.23,broken clouds,0,0
33,Ryotsu,JP,2020-05-09 23:55:23,38.08,138.43,57.2,100,90,10.22,moderate rain,0,0
34,Keti Bandar,PK,2020-05-09 23:55:23,24.14,67.45,80.47,88,1,12.41,clear sky,0,0
35,Faanui,PF,2020-05-09 23:55:24,-16.48,-151.75,81.14,81,15,16.89,few clouds,0,0
36,Arraial Do Cabo,BR,2020-05-09 23:55:24,-22.97,-42.03,71.73,64,0,12.21,clear sky,0,0
37,Port Alfred,ZA,2020-05-09 23:55:24,-33.59,26.89,61.0,87,1,8.55,clear sky,0,0
38,Portland,US,2020-05-09 23:53:49,45.52,-122.68,87.01,21,75,19.46,broken clouds,0,0
39,Kodiak,US,2020-05-09 23:55:24,57.79,-152.41,44.6,87,90,10.29,light rain,0,0
40,Ushuaia,AR,2020-05-09 23:55:24,-54.8,-68.3,44.6,81,80,5.82,broken clouds,0,0
41,Kununurra,AU,2020-05-09 23:55:24,-15.77,128.73,84.2,37,51,6.93,broken clouds,0,0
42,Touros,BR,2020-05-09 23:55:24,-5.2,-35.46,77.0,83,20,4.7,few clouds,0,0
43,Anadyr,RU,2020-05-09 23:55:24,64.75,177.48,33.8,95,90,62.63,fog,0,0
44,Sao Filipe,CV,2020-05-09 23:55:25,14.9,-24.5,73.74,74,98,8.72,overcast clouds,0,0
45,Hobart,AU,2020-05-09 23:51:26,-42.88,147.33,51.01,66,20,12.75,few clouds,0,0
46,Nara,JP,2020-05-09 23:54:25,34.69,135.8,69.01,72,75,1.12,broken clouds,0,0
47,Provideniya,RU,2020-05-09 23:55:25,64.38,-173.3,38.93,79,100,34.9,overcast clouds,0,0
48,Namatanai,PG,2020-05-09 23:55:25,-3.67,152.43,86.95,65,2,7.25,clear sky,0,0
49,Barrow,US,2020-05-09 23:55:25,71.29,-156.79,30.2,86,1,5.82,clear sky,0,0
