City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
2,Atuona,PF,80.78,-9.8,-139.03,light rain,Villa Enata
6,Hilo,US,80.6,19.73,-155.09,overcast clouds,Hilo Hawaiian Hotel
7,Tay Ninh,VN,84.27,11.3,106.1,overcast clouds,Thanh Tuyền Hotel
11,Banda Aceh,ID,78.37,5.56,95.32,overcast clouds,OYO 884 Rumoh PMI Hotel
12,Jalu,LY,67.42,29.03,21.55,scattered clouds,Jalu Hotel
17,Pitimbu,BR,75.2,-7.47,-34.81,few clouds,Reserva do Abiaí
20,Butaritari,KI,83.5,3.07,172.79,clear sky,Isles Sunset Lodge
24,Mecca,SA,83.1,21.43,39.83,overcast clouds,Hotel Fairmont Makkah Clock Royal Tower
25,Cockburn Town,TC,80.98,21.46,-71.14,scattered clouds,Osprey Beach Hotel
27,Amapa,BR,74.08,1.0,-52.0,light rain,
29,Rikitea,PF,75.85,-23.12,-134.97,broken clouds,Pension Maro'i
32,Terra Santa,BR,77.68,-2.1,-56.49,broken clouds,Igreja da paz
34,Keti Bandar,PK,80.47,24.14,67.45,clear sky,Haji laloo memon house
35,Faanui,PF,81.14,-16.48,-151.75,few clouds,Bora-Bora Pearl Beach Resort & Spa
36,Arraial Do Cabo,BR,71.73,-22.97,-42.03,clear sky,Pousada Porto Praia
41,Kununurra,AU,84.2,-15.77,128.73,broken clouds,Hotel Kununurra
42,Touros,BR,77.0,-5.2,-35.46,few clouds,INN NEW HORIZON
44,Sao Filipe,CV,73.74,14.9,-24.5,overcast clouds,Tortuga B&B
46,Nara,JP,69.01,34.69,135.8,broken clouds,Guesthouse Nara Komachi
51,Saint-Pierre,RE,69.8,-21.34,55.48,clear sky,Lindsey Hôtel
52,Axim,GH,80.87,4.87,-2.24,light rain,AXIM BEACH RESORT AND SPA
53,Santa Cruz,BO,69.8,-17.8,-63.17,clear sky,Hotel Cortez
54,Sola,VU,80.55,-13.88,167.55,broken clouds,Leumerus Bungalows
65,Hambantota,LK,80.62,6.12,81.12,overcast clouds,Bungalow 63
68,Carnarvon,AU,75.63,-24.87,113.63,overcast clouds,Hospitality Carnarvon
72,Poya,NC,77.4,-21.35,165.15,clear sky,
76,Grand Gaube,MU,70.0,-20.01,57.66,clear sky,Veranda Paul et Virginie Hotel & Spa
79,Meadow Lake,US,82.4,34.8,-106.54,clear sky,JKL Inc. R.V Park and Storage
80,Ponta Do Sol,PT,66.2,32.67,-17.1,scattered clouds,Hotel do Campo
87,Mae Hong Son,TH,78.4,19.3,97.97,few clouds,Baiyoke Chalet Hotel
91,Faya,SA,68.0,18.39,42.45,clear sky,مقبرة ال مجمل
93,Manokwari,ID,84.79,-0.87,134.08,scattered clouds,Swiss Belhotel Manokwari
94,Hobyo,SO,83.1,5.35,48.53,broken clouds,
95,Ewo,CG,75.04,-0.87,14.82,light rain,Residence Elonda Ewo
97,Iquitos,PE,78.8,-3.75,-73.25,few clouds,Cortez Malaga Techy Caroly
101,Sinnamary,GF,78.17,5.38,-52.95,moderate rain,ALETHEIA Appartement Sinnamary
102,Sao Joao Da Barra,BR,69.75,-21.64,-41.05,clear sky,Pousada Porto De Canoas
104,Vaini,TO,80.6,-21.2,-175.2,broken clouds,Keleti Beach Resort
105,Vao,NC,72.46,-22.67,167.48,broken clouds,Hotel Kou-Bugny
110,Neuquen,AR,71.6,-38.95,-68.06,scattered clouds,Hotel del Comahue
113,Impfondo,CG,71.78,1.64,18.07,overcast clouds,Préfecture de la Likouala
116,Souillac,MU,75.2,-20.52,57.52,shower rain,Bils' Villa
124,Voi,KE,72.05,-3.39,38.56,broken clouds,Voi Wildlife Lodge
125,Whitehorse,CA,69.8,60.72,-135.05,scattered clouds,Westmark Hotel
126,Prabumulih,ID,74.34,-3.45,104.25,overcast clouds,OYO 2722 Lemon Residence Prabumulih
128,Palimbang,PH,84.63,6.21,124.19,light rain,Felmar Beach resort
132,Quelimane,MZ,68.0,-17.88,36.89,scattered clouds,Hotel Flamingo
134,Kahului,US,82.4,20.89,-156.47,scattered clouds,Maui Seaside Hotel
135,Avarua,CK,82.4,-21.21,-159.78,few clouds,Paradise Inn
136,Bathsheba,BB,80.6,13.22,-59.52,scattered clouds,Atlantis Hotel
137,Isangel,VU,80.6,-19.55,169.27,scattered clouds,Volcano Sea View Tree House
141,Bambous Virieux,MU,75.2,-20.34,57.76,shower rain,Casa Tia Villa
143,Saint-Philippe,RE,69.8,-21.36,55.77,scattered clouds,"Chambres d'hôte ""La Trinité"""
144,Mount Isa,AU,69.8,-20.73,139.5,clear sky,ibis Styles Mt Isa Verona
145,Tongliao,CN,67.3,43.61,122.27,clear sky,Meirujia Hotel
149,San Julian,MX,76.23,21.02,-102.17,broken clouds,La Nueva España
150,Pocosol,CR,77.0,10.37,-84.62,thunderstorm with rain,"Heliconias Nature Lodge, Arenal Volcano, Costa Rica"
151,Saint-Georges,GD,80.6,12.06,-61.75,few clouds,Radisson Grenada Beach Resort
159,Awjilah,LY,67.53,29.11,21.29,clear sky,
160,Haines Junction,CA,67.5,60.75,-137.51,broken clouds,Parkside Inn
163,Kapaa,US,78.8,22.08,-159.32,few clouds,Sheraton Kauai Resort at Coconut Beach
169,Mahebourg,MU,75.2,-20.41,57.7,shower rain,Shandrani Beachcomber Resort & Spa
171,Carinhanha,BR,68.22,-14.3,-43.77,broken clouds,O Carinhanha Hotel
172,Nouakchott,MR,73.4,18.09,-15.98,scattered clouds,Hôtel Iman
175,Ballina,AU,70.0,-28.87,153.57,clear sky,Ramada Hotel & Suites by Wyndham Ballina Byron
178,Rantepao,ID,69.8,-2.97,119.9,heavy intensity rain,Hotel Luta Resort
179,Kawalu,ID,75.65,-7.38,108.21,overcast clouds,KOSAN UNGU UNSIK
180,Sambava,MG,74.64,-14.27,50.17,light rain,Melrose
184,San Patricio,MX,84.2,19.22,-104.7,few clouds,Hotel Cabo Blanco
188,Moindou,NC,75.2,-21.69,165.68,overcast clouds,Gite de la RYAWA
190,Poum,NC,76.69,-20.23,164.02,clear sky,Gîte kajeon
193,Namibe,AO,80.46,-15.2,12.15,scattered clouds,Chik-Chik Namibe
195,Tallahassee,US,73.4,30.44,-84.28,broken clouds,Four Points by Sheraton Tallahassee Downtown
196,Gambo,CF,68.83,4.65,22.26,broken clouds,
201,Nijar,ES,66.2,36.97,-2.21,broken clouds,La Casa del Cine
202,Georgetown,MY,80.6,5.41,100.34,scattered clouds,Cititel Penang
203,San Cristobal,VE,68.5,7.77,-72.22,scattered clouds,Pirineos
206,Naze,JP,73.4,28.37,129.48,broken clouds,奄美ポートタワーホテル
210,Omboue,GA,77.2,-1.57,9.26,broken clouds,Hotel Olako
211,Caravelas,BR,71.33,-17.71,-39.25,few clouds,Pousada dos Navegantes
212,Vila Velha,BR,66.2,-20.33,-40.29,scattered clouds,Hotel Vitória Palace
217,Guanare,VE,77.97,9.04,-69.74,light rain,Nuevo Hotel Coromoto
219,Port Blair,IN,82.94,11.67,92.75,overcast clouds,Hotel Sentinel
221,Kapitan Ramon,PH,82.9,10.77,123.13,overcast clouds,Pams
222,Lompoc,US,66.99,34.64,-120.46,overcast clouds,Holiday Inn Express Lompoc
226,Santa Isabel Do Rio Negro,BR,75.88,-0.41,-65.02,overcast clouds,Hotel GSA
227,Guerrero Negro,MX,74.55,27.98,-114.06,clear sky,"Casa Laguna, Bed & Breakfast"
229,Shimoda,JP,68.0,34.67,138.95,light intensity shower rain,Hotel Izukyu
232,Luxor,EG,67.48,25.7,32.64,clear sky,Iberotel Luxor
235,Arraias,BR,67.21,-12.93,-46.94,broken clouds,Hotel Japão
241,Ketchikan,US,73.4,55.34,-131.65,clear sky,Snows Cove Lodge
242,Quatre Cocos,MU,75.2,-20.21,57.76,shower rain,Veranda Palmar Beach Hotel
245,Port Townsend,US,73.0,48.12,-122.76,clear sky,Aladdin Inn
248,Katsuura,JP,68.0,35.13,140.3,light intensity drizzle rain,Katsuura Hotel Mikazuki
249,La Concordia,NI,77.92,13.2,-86.17,light rain,
258,Labuhan,ID,78.49,-6.88,112.21,overcast clouds,bador sepret
260,Port-Gentil,GA,80.6,-0.72,8.78,few clouds,Fengshui Residence
265,Irpa Irpa,BO,68.0,-17.72,-66.27,few clouds,
267,Bengkulu,ID,77.05,-3.8,102.27,overcast clouds,Grage Hotel Bengkulu
268,Hithadhoo,MV,84.45,-0.6,73.08,light rain,Scoop Guest House
269,Pisco,PE,68.0,-13.7,-76.22,clear sky,Hostal San Isidro Oficial
270,Puerto Ayora,EC,78.01,-0.74,-90.35,scattered clouds,Finch Bay Galapagos Hotel
271,North Bend,US,69.01,43.41,-124.22,clear sky,Red Lion Hotel Coos Bay
274,Pasni,PK,81.21,25.26,63.47,clear sky,3G hotel pasni
276,Amalner,IN,79.23,21.05,75.07,clear sky,Government Rest House
280,Bubaque,GW,77.77,11.28,-15.83,few clouds,Casa Dora
281,Mabaruma,GY,74.68,8.2,-59.78,scattered clouds,
282,San Quintin,MX,69.17,30.48,-115.95,clear sky,Old Mill Hotel
284,Fairbanks,US,71.01,64.84,-147.72,clear sky,Westmark Fairbanks Hotel & Conference Center
288,Manacapuru,BR,82.4,-3.3,-60.62,scattered clouds,Novo Hotel
290,Izumo,JP,66.2,35.37,132.77,broken clouds,Toyoko-Inn Izumoshi ekimae
293,Saint-Joseph,RE,69.8,-21.37,55.62,few clouds,"""Plantation Bed and Breakfast"
295,Uige,AO,68.65,-7.61,15.06,overcast clouds,Juliao Pereira
298,Salalah,OM,82.4,17.02,54.09,few clouds,HAMDAN PLAZA HOTEL
300,Shingu,JP,68.0,33.73,135.98,shower rain,Shingu UI Hotel
301,Port Hedland,AU,80.6,-20.32,118.57,broken clouds,The Esplanade Hotel
303,Eyl,SO,82.53,7.98,49.82,scattered clouds,Amiin Hotel
306,Camana,PE,67.12,-16.62,-72.71,broken clouds,Hostal Morales
309,Cap Malheureux,MU,70.0,-19.98,57.61,clear sky,Pereybere Hotel & Spa
311,Inhambane,MZ,68.54,-23.86,35.38,clear sky,MHL Turismo SA
314,Morondava,MG,73.26,-20.28,44.28,clear sky,La Case Bambou
315,Chiang Khong,TH,78.01,20.26,100.4,broken clouds,Chiangkhong Green Inn Resident
320,Najran,SA,77.0,17.49,44.13,clear sky,محمد هادي ال فطيح
324,Mandera,KE,80.28,3.94,41.87,broken clouds,Kornesh Hotel and Lodging
325,Valdez,EC,80.42,1.25,-78.98,broken clouds,hotel Stefany
326,Sabha,LY,80.2,27.04,14.43,clear sky,محطة ام الارانب -سبها مواصلات
330,Boyolangu,ID,76.46,-8.12,111.89,overcast clouds,Yos ega cv
331,Manaus,BR,82.4,-3.1,-60.02,broken clouds,Hotel do Largo
332,Adiake,CI,82.4,5.29,-3.3,few clouds,Hotel Lagune
335,Ladario,BR,68.63,-19.0,-57.6,clear sky,Hotel Fazenda 4 cantos
336,Tiptur,IN,77.65,13.26,76.48,broken clouds,SPOT ON 66015 Balaji Lodge And Restaurant
342,Tabora,TZ,69.8,-5.02,32.8,broken clouds,Barcelona Lodge
344,Atambua,ID,77.76,-9.11,124.89,broken clouds,Pondok Pesantren Al Muhajirin Atambua
345,Changde,CN,65.07,29.05,111.68,few clouds,Kangshida Hotel
346,Ambilobe,MG,71.2,-13.2,49.05,scattered clouds,Hôtel & Restaurant DIANA Ambilobe
348,La Orilla,MX,83.91,17.98,-102.23,clear sky,Baymont by Wyndham Lazaro Cardenas
349,Puerto Suarez,BO,68.81,-18.95,-57.8,clear sky,Hotel casa real
353,Gambela,ET,75.88,8.25,34.58,overcast clouds,Solomon Debebe Hotel
355,Yaan,NG,75.51,7.38,8.57,moderate rain,
357,Bilma,NE,82.02,18.69,12.92,clear sky,Expeditions Ténére voyages
364,Sitka,US,69.8,57.05,-135.33,broken clouds,Westmark Sitka
365,Huilong,CN,66.99,31.81,121.66,overcast clouds,Hilton Garden Inn Qidong
366,Galle,LK,82.24,6.04,80.22,overcast clouds,CocoBay Unawatuna
370,Nagato,JP,66.2,34.38,131.2,broken clouds,いそう庵
372,Enshi,CN,66.88,30.3,109.48,overcast clouds,Moevenpick Enshi
373,Dingle,PH,84.96,11.0,122.67,overcast clouds,Camp Pasica
376,Hasaki,JP,68.0,35.73,140.83,light rain,Inubosaki Kanko Hotel
380,Meulaboh,ID,77.14,4.14,96.13,overcast clouds,Kost Pria
383,Umm Lajj,SA,72.86,25.02,37.27,overcast clouds,Tanal Hotel Apartment
389,Pacific Grove,US,66.99,36.62,-121.92,clear sky,Lovers Point Inn
392,College,US,71.01,64.86,-147.8,broken clouds,Pike's Waterfront Lodge
394,Itarema,BR,77.83,-2.92,-39.92,few clouds,Windvillage
398,Pangkalanbuun,ID,77.47,-2.68,111.62,overcast clouds,Grand Kecubung Hotel
400,Mbale,UG,65.37,1.08,34.17,moderate rain,Wash And Wills Hotel
402,Tamandare,BR,77.88,-8.76,-35.1,few clouds,Pousada 100 Passos
403,Norsup,VU,82.4,-16.07,167.38,scattered clouds,Nabelchel Bungalows
404,Belmonte,BR,75.2,-15.86,-38.88,scattered clouds,Pousada Monte Carmelo O Pão
406,Sokoni,TZ,77.0,-6.43,39.55,broken clouds,Ujamaa Beach Resort
414,Joao Camara,BR,77.0,-5.54,-35.82,few clouds,Pousada Miguel Teixeira
415,Grand-Santi,GF,73.72,4.25,-54.38,broken clouds,Hotel La Villa Couacou
417,Dawlatabad,AF,69.62,36.41,64.91,clear sky,WASIM ASGAR KHAN
422,Marzuq,YE,76.39,14.4,46.47,few clouds,
428,Sechura,PE,74.53,-5.56,-80.82,clear sky,Hospedaje Costa Bella
435,Ibra,OM,81.79,22.69,58.53,clear sky,مزرعة راحة النفوس المنزفة
440,Olinda,BR,82.4,-8.01,-34.86,few clouds,Hotel 5 Sóis
444,Nouadhibou,MR,67.03,20.93,-17.03,broken clouds,El Medina
447,Riberalta,BO,74.01,-10.98,-66.1,clear sky,Hotel Colonial
449,Tura,IN,73.92,25.52,90.22,clear sky,Hotel RIKMAN Continental
450,Yambio,SS,68.92,4.57,28.4,overcast clouds,Kabash Inn
451,Zaraza,VE,81.1,9.35,-65.32,few clouds,Hotel Zaraza
